(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"though he [drink] took up my legs sometime, yet I made a shift to cast him.","though he [drink] took up my legs sometime, yet I made a shift to cast him.",0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0,food,games & sport,anatomy,movement,,,
a joyful trouble,a joyful trouble,0 1 1,emotions,suffering,,,,,
The labour we delight in physics pain.,The labour we delight in physics pain.,0 1 0 1 0 1 1,labor,feelings,medicine,suffering,,,
"Lamentings heard i' the air; strange screams of death, ","Lamentings heard i' the air strange screams of death, ",1 1 0 0 1 1 1 0 1,emotions,sensations,nature,mental faculty & state,sounds,death,
"[Lamentings] And prophesying with accents terrible, ","[Lamentings] And prophesying with accents terrible, ",1 0 1 0 1 0,emotions,mystical,language,,,,
Of dire combustion and confused events New hatch'd to the woeful time.,Of dire combustion and confused events New hatch'd to the woeful time.,0 0 1 0 1 1 0 1 0 0 1 1,fire,mental faculty & state,animals,emotions,time,,
the earth Was feverous and did shake.,the earth Was feverous and did shake.,0 1 0 1 0 0 1,nature,medicine,violence,,,,
Tongue nor heart Cannot conceive nor name thee [horror]!,Tongue nor heart Cannot conceive nor name thee [horror]!,1 0 1 0 1 0 1 0 1,anatomy,language,mental faculty & state,emotions,,,
Confusion now hath made his masterpiece!,Confusion now hath made his masterpiece!,1 0 0 0 0 1,mental faculty & state,art,,,,,
"Most sacrilegious murder hath broke ope The Lord's anointed temple, ","Most sacrilegious murder hath broke ope The Lord's anointed temple, ",0 1 1 0 1 1 0 1 1 1,religion,violence,spatial,architecture,,,
and [murder] stole thence The life o' the building!,and [murder] stole thence The life o' the building!,0 1 1 0 0 1 0 0 1,violence,economics,life,architecture,,,
destroy your sight With a new Gorgon: ,destroy your sight With a new Gorgon ,1 0 1 0 0 0 1,destruction,sensations,myth,,,,
"Shake off this downy sleep, death's counterfeit,","Shake off this downy sleep, death's counterfeit,",1 0 0 1 1 1 1,violence,sleep,death,deception,,,
"up, up, and see The great doom's image","up, up, and see The great doom's image",0 1 0 1 0 0 1 1,sleep,sensations,religion,art,,,
"As from your graves rise up, and walk like sprites, To countenance this horror","As from your graves rise up, and walk like sprites, To countenance this horror",0 0 0 1 1 1 0 1 0 1 0 1 0 1,death,sleep,movement,mystical,etiquette,emotions,
"The repetition, in a woman's ear, Would murder as it fell.","The repetition, in a woman's ear, Would murder as it fell.",0 1 0 0 1 1 0 1 0 0 0,language,women,anatomy,violence,,,
There 's nothing serious in mortality: All is but toys:,There 's nothing serious in mortality All is but toys,0 0 1 1 0 1 0 0 0 1,privation,mental faculty & state,life,games & sport,,,
renown and grace is dead;,renown and grace is dead,1 1 1 1 1,recognition,religion,death,,,,
"The wine of life is drawn, and the mere lees Is left this vault to brag of.","The wine of life is drawn, and the mere lees Is left this vault to brag of.",0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0,food,life,consumption,preservation,architecture,language,
"The spring, the head, the fountain of your blood Is stopp'd;","The spring, the head, the fountain of your blood Is stopp'd",0 1 0 1 0 1 0 0 1 0 1,nature,anatomy,hindrance,,,,
"The expedition of my violent love Outran the pauser, reason. ","The expedition of my violent love Outran the pauser, reason. ",0 1 0 0 1 1 1 0 1 1,speed,violence,emotions,movement,mental faculty & state,hindrance,
His silver skin laced with his golden blood;,His silver skin laced with his golden blood,0 1 1 1 0 0 1 1,economics,anatomy,clothes,,,,
his gash'd stabs look'd like a breach in nature For ruin's wasteful entrance: ,his gash'd stabs look'd like a breach in nature For ruin's wasteful entrance ,0 1 1 0 0 0 1 0 1 0 1 1 1,injuries,nature,destruction,spatial,,,
"the murderers, Steep'd in the colours of their trade,","the murderers, Steep'd in the colours of their trade,",0 1 1 0 0 1 0 0 1,violence,cleaning,colors,economics,,,
"who could refrain, That had a heart to love, and in that heart Courage to make 's love known","who could refrain, That had a heart to love, and in that heart Courage to make 's love known",0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1,resistance,anatomy,emotions,character traits & nature,recognition,,
"we hold our tongues, ","we hold our tongues, ",0 1 0 1,hindrance,anatomy,,,,,
"our fate, Hid in an auger-hole, may rush, and seize us","our fate, Hid in an auger hole, may rush, and seize us",0 1 1 0 0 1 1 0 1 0 1 0,mystical,concealment,hunting,spatial,,,
Our tears are not yet brew'd.,Our tears are not yet brew'd.,0 1 0 0 0 1,anatomy,food,,,,,
nor our strong sorrow Upon the foot of motion.,nor our strong sorrow Upon the foot of motion.,0 0 0 1 0 0 1 0 1,emotions,anatomy,movement,,,,
"when we have our naked frailties hid, ","when we have our naked frailties hid, ",0 0 0 0 1 1 1,clothes,character traits & nature,concealment,,,,
"In the great hand of God I stand, and thence Against the undivulged pretence I fight Of treasonous malice.","In the great hand of God I stand, and thence Against the undivulged pretence I fight Of treasonous malice.",0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1,anatomy,religion,physical activities,deception,violence,politics,ethics
Let's briefly put on manly readiness,Let's briefly put on manly readiness,0 0 1 1 1 1,clothes,men,mental faculty & state,,,,
There's daggers in men's smiles:,There's daggers in men's smiles,0 1 0 0 1,weapons,facial expressions,,,,,
"This murderous shaft that's shot Hath not yet lighted, and our safest way Is to avoid the aim.","This murderous shaft that's shot Hath not yet lighted, and our safest way Is to avoid the aim.",0 1 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1,violence,weaons,hunting,danger,spatial,,
"there's warrant in that theft Which steals itself, when there's no mercy left. ","there's warrant in that theft Which steals itself, when there's no mercy left. ",0 1 0 0 1 0 1 0 0 0 0 1 1,judiciary,economics,privation,,,,
"the heavens, as troubled with man's act, Threaten his bloody stage:","the heavens, as troubled with man's act, Threaten his bloody stage",0 1 0 1 0 1 1 1 0 1 1,religion,suffering,humanity,danger,theatre,violence,
dark night strangles the travelling lamp:,dark night strangles the travelling lamp,1 1 1 0 1 1,darkness,violence,geography,light,,,
"Is't night's predominance, or the day's shame, ","Is't night's predominance, or the day's shame, ",0 1 1 0 0 1 1,darkness,astrology,light,emotions,,,
"darkness does the face of earth entomb, ","darkness does the face of earth entomb, ",1 0 0 1 0 1 1,darkness,anatomy,nature,death,,,
When living light should kiss it?,When living light should kiss it?,0 1 1 0 1 0,life,light,affection,,,,
"unnatural, Even like the deed [murder] that's done.","unnatural, Even like the deed [murder] that's done.",1 0 0 0 1 1 0 0,nature,violence,,,,,
"[horses] Contending 'gainst obedience, as they would make War with mankind.","[horses] Contending 'gainst obedience, as they would make War with mankind.",1 1 0 1 0 0 0 0 1 0 1,equestrian,violence,devotion,military,humanity,,
"Thriftless ambition, that wilt raven up Thine own life's means!","Thriftless ambition, that wilt raven up Thine own life's means!",1 1 0 0 1 1 0 0 1 1,economics,character traits & nature,food,life,,,
Lest our [regime] old robes sit easier than our new!,Lest our [regime] old robes sit easier than our new!,0 1 1 0 1 1 1 0 0 0,politics,clothes,feelings,,,,
Thou play'dst most foully for't [kingship]:,Thou play'dst most foully for't [kingship],0 1 0 1 0 1,games & sport,ethics,politics,,,,
myself should be the root and father Of many kings.,myself should be the root and father Of many kings.,0 0 0 0 1 0 1 0 0 1,nature,familial,politics,,,,
"If there come truth from them [witches] As upon thee, Macbeth, their speeches shine","If there come truth from them [witches] As upon thee, Macbeth, their speeches shine",0 0 0 1 0 1 1 0 0 0 0 0 1 1,language,mystical,light,,,,
"If he had been forgotten, It had been as a gap in our great feast, And all-thing unbecoming.","If he had been forgotten, It had been as a gap in our great feast, And all thing unbecoming.",0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1,mental faculty & state,spatial,food,etiqeutte,,,
my duties Are with a most indissoluble tie For ever knit.,my duties Are with a most indissoluble tie For ever knit.,0 1 0 0 0 0 0 1 0 0 1,devotion,clothes,,,,,
I must become a borrower of the night For a dark hour or twain.,I must become a borrower of the night For a dark hour or twain.,0 0 0 0 1 0 0 1 0 0 1 1 0 0,economics,darkness,time,,,,
our time does call upon 's.,our time does call upon 's.,0 1 0 1 0 0,time,commands,,,,,
Let every man be master of his time,Let every man be master of his time,0 0 1 0 1 0 0 1,men,social status,time,,,,
To be thus [king] is nothing;,To be thus [king] is nothing,0 0 0 1 0 1,politics,privation,,,,,
Our fears in Banquo Stick deep;,Our fears in Banquo Stick deep,0 1 0 0 1 1,emotions,violence,spatial,,,,
"My Genius is rebuked; as, it is said, Mark Antony's was by Caesar. ","My Genius is rebuked as, it is said, Mark Antony's was by Caesar. ",0 1 0 1 0 0 0 0 1 1 0 0 1,mystical,etiquette,historical,,,,
prophet-like They [witches] hail'd him,prophet like They [witches] hail'd him,1 1 1 1 1 0,religion,mystical,greeting,,,,
"Upon my head they placed a fruitless crown, put a barren sceptre in my gripe, Thence to be wrenched with an unlineal hand, No son of mine succeeding.","Upon my head they placed a fruitless crown, put a barren sceptre in my gripe, Thence to be wrenched with an unlineal hand, No son of mine succeeding.",0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1,anatomy,agriculture,politics,reproduction,violence,familial,
For Banquo's [enemy] issue have I filed my mind;,For Banquo's [enemy] issue have I filed my mind,0 1 1 1 0 0 1 0 1,social relations,familial,cleaning,mental faculty & state,,,
Put rancours in the vessel of my peace only for them [Banquo's [enemy] issue],Put rancours in the vessel of my peace only for them [Banquo's [enemy] issue],0 1 0 0 1 0 0 1 0 0 1 1 1 1,feelings,food,politics,social relations,familial,,
"mine eternal jewel Given to the common enemy of man [devil], ","mine eternal jewel Given to the common enemy of man [devil], ",0 1 1 0 0 0 0 1 0 1 1,time,economics,social relations,humanity,religion,,
"come fate into the list, And champion me to th'utterance!","come fate into the list, And champion me to th'utterance!",0 1 0 0 1 0 1 0 0 1,mystical,games & sport,social relations,death,,,
"you were borne in hand, how cross'd;","you were borne in hand, how cross'd",0 0 1 0 1 0 1,labor,anatomy,deception,,,,
heavy hand hath bowed you to the grave and beggar'd yours for ever,heavy hand hath bowed you to the grave and beggar'd yours for ever,1 1 0 1 0 0 0 1 0 1 0 1 1,weight,anatomy,social relations,death,economics,time,
"in the catalogue ye go for men; As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water-rugs and demi-wolves, are clept All by the name of dogs","in the catalogue ye go for men As hounds and greyhounds, mongrels, spaniels, curs, Shoughs, water rugs and demi wolves, are clept All by the name of dogs",0 0 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1,language,men,animals,,,,
every one [character trait] According to the gift which bounteous nature Hath in him closed;,every one [character trait] According to the gift which bounteous nature Hath in him closed,0 0 1 1 0 0 0 1 0 1 1 0 0 0 1,character traits & nature,economics,ethics,nature,spatial,,
"I will put that business in your bosoms, ","I will put that business in your bosoms, ",0 0 0 0 1 0 0 1,labor,anatomy,,,,,
"Grapples you to the heart and love of us,","Grapples you to the heart and love of us,",1 0 0 0 1 0 1 0 0,adhesion,anatomy,emotions,,,,
"Who wear our health but sickly in his life, ","Who wear our health but sickly in his life, ",0 1 0 1 0 1 0 0 1,clothes,medicine,life,,,,
Which in his death were perfect [health].,Which in his death were perfect [health].,0 0 0 1 0 1 1,death,medicine,,,,,
"tugg'd with fortune, ","tugg'd with fortune, ",1 0 1,violence,mystical,,,,,
every minute of his being thrusts Against my near'st of life:,every minute of his being thrusts Against my near'st of life,0 1 0 0 1 1 0 0 1 0 1,time,violence,spatial,life,,,
Masking the business from the common eye ,Masking the business from the common eye ,1 0 1 0 0 1 1,concealment,labor,social status,anatomy,,,
Your spirits shine through you.,Your spirits shine through you.,0 1 1 0 0,religion,light,,,,,
"I require a clearness: and with him, To leave no rubs nor botches in the work,","I require a clearness and with him, To leave no rubs nor botches in the work,",0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1,judiciary,preservation,hindrance,labor,,,
must embrace the fate Of that dark hour.,must embrace the fate Of that dark hour.,0 1 0 1 0 0 1 1,affection,mystical,darkness,time,,,
"thy soul's flight, If it find heaven, must find it out tonight.","thy soul's flight, If it find heaven, must find it out tonight.",0 1 1 0 0 1 1 0 1 0 0 1,religion,animals,discovering,darkness,,,
"Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on?","Of sorriest fancies your companions making, Using those thoughts which should indeed have died With them they think on?",0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0,mental faculty & state,social relations,death,,,,
"We have scortch'd the snake,","We have scortch'd the snake,",0 0 1 0 1,violence,animals,,,,,
our poor malice Remains in danger of her [snake] former tooth.,our poor malice Remains in danger of her [snake] former tooth.,0 0 1 0 0 1 0 0 1 0 1,violence,danger,animals,anatomy,,,
"better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.","better be with the dead, Whom we, to gain our peace, have sent to peace, Than on the torture of the mind to lie In restless ecstasy.",0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1,death,feelings,violence,mental faculty & state,sleep,,
Duncan is in his grave; After life's fitful fever he sleeps well;,Duncan is in his grave After life's fitful fever he sleeps well,0 0 0 0 1 0 1 1 1 0 1 0,death,medicine,life,sleep,,,
"Present him eminence, both with eye and tongue:","Present him eminence, both with eye and tongue",1 0 1 0 0 1 0 1,appearance,recognition,anatomy,,,,
